Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
attLegendPerks04LongDesc,progression,Attribute,,,"At night.. Increases XP gained and loot dropped from kills, but at the cost of deadlier enemies.\nAre you ready to face the nightmare?\n(Can be reset by using 'Grandpa's Fergit'n Elixir'.)",,,,,,"夜になると… 獲得経験値や敵が落とす戦利品が増えるが、その代償として、より致命的な敵が襲いかかってくる。\n悪夢に立ち向かう準備はできていますか？\n(「おじいちゃんの健忘エリクサー」でリセット可能。)",,,,"Ночью.. Увеличивает опыт, получаемый и добыча дропа от убийств, но за счет смертоноснее врагов.\nВы готовы столкнуться с кошмаром?\n(Можно сбросить, используя Дедушкин элексир слабой памяти.)",,"夜晚时……增加击杀所获得的经验值和战利品掉落的几率，但代价是更致命的敌人。\n你准备好面对噩梦了吗？\n（可以使用‘祖父的遗忘妙药’重置。）","夜間時……增加擊殺後獲得的經驗值和戰利品掉落的機率，但代價是更致命的敵人。\n你準備好面對惡夢了嗎？\n（可以使用「遺忘聖水」重置。）"
attLegendPerks05Desc,progression,Attribute,,,Recalculate Skill Points (Optional),,,,,,スキルポイントを再計算 (オプション),,,,Пересчитать очки навыков (опционально),,重新计算技能点（自选）,重新計算技能點數（可選）
attLegendPerks05LongDesc,progression,Attribute,,,Used to recalculate skill points.,,,,,,スキルポイントを再計算するために使用されます。,,,,Используется для пересчета очков навыков.,,用于重新计算技能点。,用於重新計算技能點數。
reqPlayerLevel02,progression,Attribute,,,Level 20,,,,,,レベル 20,,,,Уровень 20,,等级 20,等級 20
reqPlayerLevel04,progression,Attribute,,,Level 40,,,,,,レベル 40,,,,Уровень 40,,等级 40,等級 40
reqPlayerLevel05,progression,Attribute,,,Level 50,,,,,,レベル 50,,,,Уровень 50,,等级 50,等級 50
reqPlayerLevel06,progression,Attribute,,,Level 60,,,,,,レベル 60,,,,Уровень 60,,等级 60,等級 60
reqPlayerLevel08,progression,Attribute,,,Level 80,,,,,,レベル 80,,,,Уровень 80,,等级 80,等級 80
reqPlayerLevel10,progression,Attribute,,,Level 100,,,,,,レベル 100,,,,Уровень 100,,等级 100,等級 100
reqLegendLevel01,progression,Attribute,,,Legend Level 1,,,,,,レジェンド レベル 1,,,,Легендарный уровень 1,,传奇等级 1,傳奇等級 1
reqLegendLevel02,progression,Attribute,,,Legend Level 2,,,,,,レジェンド レベル 2,,,,Легендарный уровень 2,,传奇等级 2,傳奇等級 2
reqItemLevel01FergitElixir,progression,Attribute,,,Grandpa's Fergit'n Elixir x1,,,,,,おじいちゃんの健忘エリクサー x1,,,,Дедушкин эликсир слабой памяти x1,,祖父的遗忘妙药 x1,遺忘聖水 x1
PhysicalLPName,progression,skills,,,Survival: Physical Mastery,,,,,,サバイバル：フィジカルマスタリー,,,,Выживание: Физическое мастерство,,生存：身体类精通,生存：身體類掌握
PhysicalLPDesc,progression,skills,,,Mastery of all physical perks.,,,,,,すべてのフィジカルパークをマスター。,,,,Освоение всех физических способностей.,,精通所有身体类技能。,掌握所有身體類技能。
PhysicalLP01Desc,progression,skills,,,Physical Perks,,,,,,フィジカル・パーク,,,,Физические перки,,身体类技能,身體類技能
MentalLPName,progression,skills,,,Survival: Mental Mastery,,,,,,サバイバル：メンタルマスタリー,,,,Выживание: Ментальное мастерство,,生存：精神类精通,生存：精神類掌握
MentalLPDesc,progression,skills,,,Mastery of all mental perks.,,,,,,すべてのメンタルパークをマスター。,,,,Освоение всех ментальных способностей.,,精通所有精神类技能。,掌握所有精神類技能。
MentalLP01Desc,progression,skills,,,Mental Perks,,,,,,メンタルパーク,,,,Ментальные перки,,精神类技能,精神類技能
MeleeLPName,progression,skills,,,Combat: Melee Weapon Mastery,,,,,,コンバット：近接武器マスタリー,,,,Бой: Мастерство оружия ближнего боя,,战斗：近战武器精通,戰鬥：近戰武器掌握
MeleeLPDesc,progression,skills,,,Mastery of all melee weapon perks.,,,,,,すべての近接武器パークを習得。,,,,Освоение всех способностей оружия ближнего боя.,,精通所有近战武器技能。,掌握所有近戰武器技能。
MeleeLP01Desc,progression,skills,,,Melee Weapon Perks,,,,,,近接武器パーク,,,,Оружие ближнего боя перки,,近战武器技能,近戰武器技能
RangedLPName,progression,skills,,,Combat: Ranged Weapon Mastery,,,,,,コンバット：射撃武器マスタリー,,,,Бой: Мастерство оружия дальнего боя,,战斗：远程武器精通,戰鬥：遠程武器掌握
RangedLPDesc,progression,skills,,,Mastery of all ranged weapon perks.,,,,,,すべての射撃武器パークを習得。,,,,Освоение всех способностей оружия дальнего боя.,,精通所有远程武器技能。,掌握所有遠程武器技能。
RangedLP01Desc,progression,skills,,,Ranged Weapon Perks,,,,,,射撃武器パーク,,,,Оружие дальнего боя перки,,远程武器技能,遠程武器技能
buffattLegendPerks1Name,buffs,Buff,,,The Legend,,,,,,The Legend,,,,Легенда,,传奇,傳奇
buffattLegendPerks1LongDesc,buffs,Buff,,,+50% Game Stage\n\n+50% XP Gained from Killed\n+1% Loot Drop Chance\n\n+50% Enemies Damage\n+33% Enemies Critical Chance,,,,,,ゲームステージ50%増加\n\n撃破で得られる経験値が50%増加\n戦利品のドロップ確率1%増加\n\n敵のダメージ50%増加\n敵のクリティカル確率33%増加,,,,+50% Игровой этап\n\n+50% опыта получаемого за убийство\n+1% Шанс выпадения добычи\n\n+50% Урона врага\n+33% Шансу критического удара врага,,+50%游戏阶段\n\n+50%击杀经验值\n+1%战利品掉落几率\n\n+50%敌人伤害\n+33%敌人暴击几率,+50% 遊戲階段\n\n+50% 殺敵經驗值\n+1% 戰利品掉落機率\n\n+50% 敵人傷害\n+33% 敵人暴擊率
buffattLegendPerks1Tooltip,buffs,Buff,,,The night has come.. Good Night~,,,,,,夜が来た…おやすみ〜,,,,Настала ночь.. Спокойной ночи~,,夜幕来临了……晚安~,夜幕來臨了……晚安~
buffattLegendPerks2Name,buffs,Buff,,,Dying Light,,,,,,ダイイングライト,,,,Умирающий Свет,,消逝的光芒,消逝的光芒
buffattLegendPerks2LongDesc,buffs,Buff,,,+100% Game Stage\n\n+100% XP Gained from Killed\n+2% Loot Drop Chance\n\nAll Injuries Cause Infection\n+100% Enemies Damage\n+66% Enemies Critical Chance\n+33% Enemies Search Sense\nEnemies Search Until Dawn,,,,,,ゲームステージ100%増加\n\n撃破で得られる経験値が100%増加\n戦利品のドロップ確率2%増加\n\nあらゆる傷害は感染を引き起こす\n敵のダメージ100%増加\n敵のクリティカル確率66%増加\n敵の検出感覚33%増加\n敵は夜明けまで捜索を続ける,,,,+100% Игровой этап\n\n+100% опыта получаемого за убийство\n+2% Шанс выпадения добычи\n\nВсе травмы вызывают инфекцию\n+100% Урона врага\n+66% Шансу критического удара врага\n+33% Обнаружение врага\nВраги ищут до рассвета,,+100%游戏阶段\n\n+100%击杀经验值\n+2%战利品掉落几率\n\n所有损伤都会引起感染\n+100%敌人伤害\n+66%敌人暴击几率\n+33%敌人搜寻感知\n敌人将会搜寻至黎明,+100% 遊戲階段\n\n+100% 殺敵經驗值\n+2% 戰利品掉落機率\n\n所有傷害都會導致感染\n+100% 敵人傷害\n+66% 敵人暴擊率\n+33% 敵人搜尋感知\n敵人將會搜尋至黎明
buffattLegendPerks2Tooltip,buffs,Buff,,,The nightmare has arrived.. Good Luck!,,,,,,悪夢がやってきた…幸運を！,,,,Кошмар наступил.. Удачи!,,噩梦已降临……祝你好运！,噩夢已降臨……祝你好運！
buffIconIndoorLPName,buffs,Buff,,,Indoor,,,,,,屋内,,,,В помещении,,室内,室內
buffIconIndoorLPLongDesc,buffs,Buff,,,You are now indoor.,,,,,,あなたは今、屋内にいます。,,,,Теперь вы в помещении.,,你现在位于室内。,你現在處於室內。
buffIconIndoorALPLongDesc,buffs,Buff,,,You are now indoor.\n\nRegeneration:\nImproves health regen rates.,,,,,,あなたは今、屋内にいます。\n\nリジェネレーション：\n体力回復率が向上します。,,,,Теперь вы в помещении.\n\nРегенерация:\nУлучшает скорость восстановления здоровья.,,你现在位于室内。\n\n生生不息：\n提高生命恢复率。,你現在處於室內。\n\n再生：\n提高生命恢復率。
buffIconIndoorBLPLongDesc,buffs,Buff,,,You are now indoor.\n\nRecovery:\nImproves stamina recovery speed.,,,,,,あなたは今、屋内にいます。\n\nリカバリー：\nスタミナ回復速度が向上します。,,,,Теперь вы в помещении.\n\nВосстановление:\nУлучшает скорость восстановления выносливости.,,你现在位于室内。\n\n恢复：\n提高体力恢复速度。,你現在處於室內。\n\n恢復：\n提高耐力恢復速度。
buffIconIndoorCLPLongDesc,buffs,Buff,,,You are now indoor.\n\nResilient:\nIncreases critical hit resistance.,,,,,,あなたは今、屋内にいます。\n\n弾力性：\nクリティカルヒット耐性を向上します。,,,,Теперь вы в помещении.\n\nУстойчивость:\nУвеличивает устойчивость к критическим ударам.,,你现在位于室内。\n\n体魄强健：\n增加暴击抗性。,你現在處於室內。\n\n恢復力：\n增加暴擊抵抗力。
buffIconIndoorDLPLongDesc,buffs,Buff,,,You are now indoor.\n\nStealthy:\nIncreases sneaking damage.,,,,,,あなたは今、屋内にいます。\n\nステルス：\nスニーキングダメージを増加します。,,,,Теперь вы в помещении.\n\nСкрытность:\nУвеличивает урон при скрытном нападении.,,你现在位于室内。\n\n匿踪：\n增加潜行伤害。,你現在處於室內。\n\n隱秘：\n增加偷襲傷害。
buffIconIndoorABLPLongDesc,buffs,Buff,,,You are now indoor.\n\nRegeneration:\nImproves health regen rates.\nRecovery:\nImproves stamina recovery speed.,,,,,,あなたは今、屋内にいます。\n\nリジェネレーション：\n体力回復率が向上します。\nリカバリー：\nスタミナ回復速度が向上します。,,,,Теперь вы в помещении.\n\nРегенерация:\nУлучшает скорость восстановления здоровья.\nВосстановление:\nУлучшает скорость восстановления выносливости.,,你现在位于室内。\n\n生生不息：\n提高生命恢复率。\n恢复：\n提高体力恢复速度。,你現在處於室內。\n\n再生：\n提高生命恢復率。\n恢復：\n提高耐力恢復速度。
buffIconIndoorBCLPLongDesc,buffs,Buff,,,You are now indoor.\n\nRecovery:\nImproves stamina recovery speed.\nResilient:\nIncreases critical hit resistance.,,,,,,あなたは今、屋内にいます。\n\nリカバリー：\nスタミナ回復速度が向上します。\n弾力性：\nクリティカルヒット耐性を向上します。,,,,Теперь вы в помещении.\n\nВосстановление:\nУлучшает скорость восстановления выносливости.\nУстойчивость:\nУвеличивает устойчивость к критическим ударам.,,你现在位于室内。\n\n恢复：\n提高体力恢复速度。\n体魄强健：\n增加暴击抗性。,你現在處於室內。\n\n恢復：\n提高耐力恢復速度。\n恢復力：\n增加暴擊抵抗力。
buffIconIndoorCDLPLongDesc,buffs,Buff,,,You are now indoor.\n\nResilient:\nIncreases critical hit resistance.\nStealthy:\nIncreases sneaking damage.,,,,,,あなたは今、屋内にいます。\n\n弾力性：\nクリティカルヒット耐性を向上します。\nステルス：\nスニーキングダメージを増加します。,,,,Теперь вы в помещении.\n\nУстойчивость:\nУвеличивает устойчивость к критическим ударам.\nСкрытность:\nУвеличивает урон при скрытном нападении.,,你现在位于室内。\n\n体魄强健：\n增加暴击抗性。\n匿踪：\n增加潜行伤害。,你現在處於室內。\n\n恢復力：\n增加暴擊抵抗力。\n隱秘：\n增加偷襲傷害。
buffIconIndoorDALPLongDesc,buffs,Buff,,,You are now indoor.\n\nRegeneration:\nImproves health regen rates.\nStealthy:\nIncreases sneaking damage.,,,,,,あなたは今、屋内にいます。\n\nリジェネレーション：\n体力回復率が向上します。\nステルス：\nスニーキングダメージを増加します。,,,,Теперь вы в помещении.\n\nРегенерация:\nУлучшает скорость восстановления здоровья.\nСкрытность:\nУвеличивает урон при скрытном нападении.,,你现在位于室内。\n\n生生不息：\n提高生命恢复率。\n匿踪：\n增加潜行伤害。,你現在處於室內。\n\n再生：\n提高生命恢復率。\n隱秘：\n增加偷襲傷害。
buffIconIndoorACLPLongDesc,buffs,Buff,,,You are now indoor.\n\nRegeneration:\nImproves health regen rates.\nResilient:\nIncreases critical hit resistance.,,,,,,あなたは今、屋内にいます。\n\nリジェネレーション：\n体力回復率が向上します。\n弾力性：\nクリティカルヒット耐性を向上します。,,,,Теперь вы в помещении.\n\nРегенерация:\nУлучшает скорость восстановления здоровья.\nУстойчивость:\nУвеличивает устойчивость к критическим ударам.,,你现在位于室内。\n\n生生不息：\n提高生命恢复率。\n体魄强健：\n增加暴击抗性。,你現在處於室內。\n\n再生：\n提高生命恢復率。\n恢復力：\n增加暴擊抵抗力。
buffIconIndoorBDLPLongDesc,buffs,Buff,,,You are now indoor.\n\nRecovery:\nImproves stamina recovery speed.\nStealthy:\nIncreases sneaking damage.,,,,,,あなたは今、屋内にいます。\n\nリカバリー：\nスタミナ回復速度が向上します。\nステルス：\nスニーキングダメージを増加します。,,,,Теперь вы в помещении.\n\nВосстановление:\nУлучшает скорость восстановления выносливости.\nСкрытность:\nУвеличивает урон при скрытном нападении.,,你现在位于室内。\n\n恢复：\n提高体力恢复速度。\n匿踪：\n增加潜行伤害。,你現在處於室內。\n\n恢復：\n提高耐力恢復速度。\n隱秘：\n增加偷襲傷害。
buffIconIndoorABCLPLongDesc,buffs,Buff,,,You are now indoor.\n\nRegeneration:\nImproves health regen rates.\nRecovery:\nImproves stamina recovery speed.\nResilient:\nIncreases critical hit resistance.,,,,,,あなたは今、屋内にいます。\n\nリジェネレーション：\n体力回復率が向上します。\nリカバリー：\nスタミナ回復速度が向上します。\n弾力性：\nクリティカルヒット耐性を向上します。,,,,Теперь вы в помещении.\n\nРегенерация:\nУлучшает скорость восстановления здоровья.\nВосстановление:\nУлучшает скорость восстановления выносливости.\nУстойчивость:\nУвеличивает устойчивость к критическим ударам.,,你现在位于室内。\n\n生生不息：\n提高生命恢复率。\n恢复：\n提高体力恢复速度。\n体魄强健：\n增加暴击抗性。,你現在處於室內。\n\n再生：\n提高生命恢復率。\n恢復：\n提高耐力恢復速度。\n恢復力：\n增加暴擊抵抗力。
buffIconIndoorBCDLPLongDesc,buffs,Buff,,,You are now indoor.\n\nRecovery:\nImproves stamina recovery speed.\nResilient:\nIncreases critical hit resistance.\nStealthy:\nIncreases sneaking damage.,,,,,,あなたは今、屋内にいます。\n\nリカバリー：\nスタミナ回復速度が向上します。\n弾力性：\nクリティカルヒット耐性を向上します。\nステルス：\nスニーキングダメージを増加します。,,,,Теперь вы в помещении.\n\nВосстановление:\nУлучшает скорость восстановления выносливости.\nУстойчивость:\nУвеличивает устойчивость к критическим ударам.\nСкрытность:\nУвеличивает урон при скрытном нападении.,,你现在位于室内。\n\n恢复：\n提高体力恢复速度。\n体魄强健：\n增加暴击抗性。\n匿踪：\n增加潜行伤害。,你現在處於室內。\n\n恢復：\n提高耐力恢復速度。\n恢復力：\n增加暴擊抵抗力。\n隱秘：\n增加偷襲傷害。
buffIconIndoorCDALPLongDesc,buffs,Buff,,,You are now indoor.\n\nRegeneration:\nImproves health regen rates.\nResilient:\nIncreases critical hit resistance.\nStealthy:\nIncreases sneaking damage.,,,,,,あなたは今、屋内にいます。\n\nリジェネレーション：\n体力回復率が向上します。\n弾力性：\nクリティカルヒット耐性を向上します。\nステルス：\nスニーキングダメージを増加します。,,,,Теперь вы в помещении.\n\nРегенерация:\nУлучшает скорость восстановления здоровья.\nУстойчивость:\nУвеличивает устойчивость к критическим ударам.\nСкрытность:\nУвеличивает урон при скрытном нападении.,,你现在位于室内。\n\n生生不息：\n提高生命恢复率。\n体魄强健：\n增加暴击抗性。\n匿踪：\n增加潜行伤害。,你現在處於室內。\n\n再生：\n提高生命恢復率。\n恢復力：\n增加暴擊抵抗力。\n隱秘：\n增加偷襲傷害。
buffIconIndoorDABLPLongDesc,buffs,Buff,,,You are now indoor.\n\nRegeneration:\nImproves health regen rates.\nRecovery:\nImproves stamina recovery speed.\nStealthy:\nIncreases sneaking damage.,,,,,,あなたは今、屋内にいます。\n\nリジェネレーション：\n体力回復率が向上します。\nリカバリー：\nスタミナ回復速度が向上します。\nステルス：\nスニーキングダメージを増加します。,,,,Теперь вы в помещении.\n\nРегенерация:\nУлучшает скорость восстановления здоровья.\nВосстановление:\nУлучшает скорость восстановления выносливости.\nСкрытность:\nУвеличивает урон при скрытном нападении.,,你现在位于室内。\n\n生生不息：\n提高生命恢复率。\n恢复：\n提高体力恢复速度。\n匿踪：\n增加潜行伤害。,你現在處於室內。\n\n再生：\n提高生命恢復率。\n恢復：\n提高耐力恢復速度。\n隱秘：\n增加偷襲傷害。
buffIconIndoorABCDLPLongDesc,buffs,Buff,,,You are now indoor.\n\nRegeneration:\nImproves health regen rates.\nRecovery:\nImproves stamina recovery speed.\nResilient:\nIncreases critical hit resistance.\nStealthy:\nIncreases sneaking damage.,,,,,,あなたは今、屋内にいます。\n\nリジェネレーション：\n体力回復率が向上します。\nリカバリー：\nスタミナ回復速度が向上します。\n弾力性：\nクリティカルヒット耐性を向上します。\nステルス：\nスニーキングダメージを増加します。,,,,Теперь вы в помещении.\n\nРегенерация:\nУлучшает скорость восстановления здоровья.\nВосстановление:\nУлучшает скорость восстановления выносливости.\nУстойчивость:\nУвеличивает устойчивость к критическим ударам.\nСкрытность:\nУвеличивает урон при скрытном нападении.,,你现在位于室内。\n\n生生不息：\n提高生命恢复率。\n恢复：\n提高体力恢复速度。\n体魄强健：\n增加暴击抗性。\n匿踪：\n增加潜行伤害。,你現在處於室內。\n\n再生：\n提高生命恢復率。\n恢復：\n提高耐力恢復速度。\n恢復力：\n增加暴擊抵抗力。\n隱秘：\n增加偷襲傷害。
buffRegenerationLPName,buffs,Buff,,,Regeneration,,,,,,リジェネレーション,,,,Регенерация,,生生不息,再生
buffRegeneration1LPLongDesc,buffs,Buff,,,Improves health regen rates by an additional +0.02 per second when indoors.,,,,,,屋内では体力の回復速度が毎秒につき更に0.02増加。,,,,Увеличивает скорость восстановления здоровья на +0.02 в секунду в помещении.,,室内时生命恢复率每秒额外提高+0.02。,室內時生命恢復率每秒額外提高 +0.02。
buffRegeneration2LPLongDesc,buffs,Buff,,,Improves health regen rates by an additional +0.04 per second when indoors.,,,,,,屋内では体力の回復速度が毎秒につき更に0.04増加。,,,,Увеличивает скорость восстановления здоровья на +0.04 в секунду в помещении.,,室内时生命恢复率每秒额外提高+0.04。,室內時生命恢復率每秒額外提高 +0.04。
buffRegeneration3LPLongDesc,buffs,Buff,,,Improves health regen rates by an additional +0.06 per second when indoors.,,,,,,屋内では体力の回復速度が毎秒につき更に0.06増加。,,,,Увеличивает скорость восстановления здоровья на +0.06 в секунду в помещении.,,室内时生命恢复率每秒额外提高+0.06。,室內時生命恢復率每秒額外提高 +0.06。
buffRegeneration4LPLongDesc,buffs,Buff,,,Improves health regen rates by an additional +0.08 per second when indoors.,,,,,,屋内では体力の回復速度が毎秒につき更に0.08増加。,,,,Увеличивает скорость восстановления здоровья на +0.08 в секунду в помещении.,,室内时生命恢复率每秒额外提高+0.08。,室內時生命恢復率每秒額外提高 +0.08。
buffRegeneration5ALPLongDesc,buffs,Buff,,,Improves health regen rates by an additional +0.1 per second when indoors.,,,,,,屋内では体力の回復速度が毎秒につき更に0.1増加。,,,,Увеличивает скорость восстановления здоровья на +0.1 в секунду в помещении.,,室内时生命恢复率每秒额外提高+0.1。,室內時生命恢復率每秒額外提高 +0.1。
buffRegeneration5BLPLongDesc,buffs,Buff,,,Improves health regen rates by an additional +0.1 per second when not hungry.,,,,,,空腹でないとき体力の回復速度が毎秒につき更に0.1増加。,,,,Увеличивает скорость восстановления здоровья на +0.1 в секунду если не голоден.,,不饿时生命恢复率每秒额外提高+0.1。,不飢餓時生命恢復率每秒額外提高 +0.1。
buffRegeneration5ABLPLongDesc,buffs,Buff,,,Improves health regen rates by an additional +0.1 per second when indoors.\nImproves health regen rates by an additional +0.1 per second when not hungry.,,,,,,屋内では体力の回復速度が毎秒につき更に0.1増加。\n空腹でないとき体力の回復速度が毎秒につき更に0.1増加。,,,,Увеличивает скорость восстановления здоровья на +0.1 в секунду в помещении.\nУвеличивает скорость восстановления здоровья на +0.1 в секунду если не голоден.,,室内时生命恢复率每秒额外提高+0.1。\n不饿时生命恢复率每秒额外提高+0.1。,室內時生命恢復率每秒額外提高 +0.1。\n不飢餓時生命恢復率每秒額外提高 +0.1。
buffRecoveryLPName,buffs,Buff,,,Recovery,,,,,,リカバリー,,,,Восстановление,,恢复,恢復
buffRecovery1LPLongDesc,buffs,Buff,,,Improves stamina recovery speed by an additional +2% when indoors.,,,,,,屋内ではスタミナ回復速度が更に2%増加。,,,,Увеличивает скорость восстановления выносливости на +2% в помещении.,,室内时体力恢复速度额外提高+2%。,室內時耐力恢復速度額外提高 +2%。
buffRecovery2LPLongDesc,buffs,Buff,,,Improves stamina recovery speed by an additional +4% when indoors.,,,,,,屋内ではスタミナ回復速度が更に4%増加。,,,,Увеличивает скорость восстановления выносливости на +4% в помещении.,,室内时体力恢复速度额外提高+4%。,室內時耐力恢復速度額外提高 +4%。
buffRecovery3LPLongDesc,buffs,Buff,,,Improves stamina recovery speed by an additional +6% when indoors.,,,,,,屋内ではスタミナ回復速度が更に6%増加。,,,,Увеличивает скорость восстановления выносливости на +6% в помещении.,,室内时体力恢复速度额外提高+6%。,室內時耐力恢復速度額外提高 +6%。
buffRecovery4LPLongDesc,buffs,Buff,,,Improves stamina recovery speed by an additional +8% when indoors.,,,,,,屋内ではスタミナ回復速度が更に8%増加。,,,,Увеличивает скорость восстановления выносливости на +8% в помещении.,,室内时体力恢复速度额外提高+8%。,室內時耐力恢復速度額外提高 +8%。
buffRecovery5ALPLongDesc,buffs,Buff,,,Improves stamina recovery speed by an additional +10% when indoors.,,,,,,屋内ではスタミナ回復速度が更に10%増加。,,,,Увеличивает скорость восстановления выносливости на +10% в помещении.,,室内时体力恢复速度额外提高+10%。,室內時耐力恢復速度額外提高 +10%。
buffRecovery5BLPLongDesc,buffs,Buff,,,Improves stamina recovery speed by an additional +10% when not thirsty.,,,,,,喉が渇いていないときスタミナ回復速度が更に10%増加。,,,,Увеличивает скорость восстановления выносливости на +10% если нет жажды.,,不渴时体力恢复速度额外提高+10%。,不渴時耐力恢復速度額外提高 +10%。
buffRecovery5ABLPLongDesc,buffs,Buff,,,Improves stamina recovery speed by an additional +10% when indoors.\nImproves stamina recovery speed by an additional +10% when not thirsty.,,,,,,屋内ではスタミナ回復速度が更に10%増加。\n喉が渇いていないときスタミナ回復速度が更に10%増加。,,,,Увеличивает скорость восстановления выносливости на +10% в помещении.\nУвеличивает скорость восстановления выносливости на +10% если нет жажды.,,室内时体力恢复速度额外提高+10%。\n不渴时体力恢复速度额外提高+10%。,室內時耐力恢復速度額外提高 +10%。\n不渴時耐力恢復速度額外提高 +10%。
buffDamageResistLPName,buffs,Buff,,,Resilient,,,,,,弾力性,,,,Устойчивость,,体魄强健,恢復力
buffDamageResist1LPLongDesc,buffs,Buff,,,Increases critical hit resistance by an additional +4% when indoors.,,,,,,屋内での重症耐性が更に4%増加。,,,,Увеличивает сопротивление критическому урону на +4% в помещении.,,室内时暴击抗性额外增加+4%。,室內時暴擊抵抗力額外增加 +4%。
buffDamageResist2LPLongDesc,buffs,Buff,,,Increases critical hit resistance by an additional +8% when indoors.,,,,,,屋内での重症耐性が更に8%増加。,,,,Увеличивает сопротивление критическому урону на +8% в помещении.,,室内时暴击抗性额外增加+8%。,室內時暴擊抵抗力額外增加 +8%。
buffDamageResist3LPLongDesc,buffs,Buff,,,Increases critical hit resistance by an additional +12% when indoors.,,,,,,屋内での重症耐性が更に12%増加。,,,,Увеличивает сопротивление критическому урону на +12% в помещении.,,室内时暴击抗性额外增加+12%。,室內時暴擊抵抗力額外增加 +12%。
buffDamageResist4LPLongDesc,buffs,Buff,,,Increases critical hit resistance by an additional +16% when indoors.,,,,,,屋内での重症耐性が更に16%増加。,,,,Увеличивает сопротивление критическому урону на +16% в помещении.,,室内时暴击抗性额外增加+16%。,室內時暴擊抵抗力額外增加 +16%。
buffDamageResist5ALPLongDesc,buffs,Buff,,,Increases critical hit resistance by an additional +20% when indoors.,,,,,,屋内での重症耐性が更に20%増加。,,,,Увеличивает сопротивление критическому урону на +20% в помещении.,,室内时暴击抗性额外增加+20%。,室內時暴擊抵抗力額外增加 +20%。
buffDamageResist5BLPLongDesc,buffs,Buff,,,Reduces all damage taken by -10% when below 33% health.,,,,,,体力が33%以下のとき全てのダメージ軽減率が10%減少。,,,,Снижает получаемый урон на -10% если здоровье ниже 33%.,,生命值低于33%时受到的所有伤害减少-10%。,生命值低於 33% 時所受的所有傷害減少 -10%。
